Label,Comment,Components,Shape,Height,Width,Rep Rate,Speed,Angle,Hg202,Pb204,Pb206,Pb207,Pb208,Th232,U238,U235,TotalBeam,BeamSeconds,Mask,Hg202_CPS,Pb204_CPS,Pb206_CPS,Pb207_CPS,Pb208_CPS,Th232_CPS,U238_CPS,U235_CPS,TotalBeam_CPS,Raw U/Th,Hg202_CPS,Pb204_CPS,Pb206_CPS,Pb207_CPS,Pb208_CPS,Th232_CPS,U238_CPS,U235_CPS,TotalBeam_CPS,Pb206/U238,Pb206/U238 age,Pb207/U235,Pb207/U235 age,Pb208/Th232,Pb208/Th232 age,DC Pb206/U238,DC Pb206/U238 age,DC Pb207/U235,DC Pb207/U235 age,DC Pb208/Th232,DC Pb208/Th232 age,DC Pb207/Pb206,DC Pb207/Pb206 age,Final Pb206/U238,Final Pb206/U238 age,Final Pb207/U235,Final Pb207/U235 age,Final Pb208/Th232,Final Pb208/Th232 age,Final Pb207/Pb206,Final Pb207/Pb206 age,Final U238/Pb206,Final U/Th,Approx_U_PPM,Approx_Th_PPM,rho 206Pb/238U v 207Pb/235U,rho 207Pb/206Pb v 238U/206Pb
Baseline,,-,,,,,,,1118 ± 52,299 ± 31,349 ± 29,265 ± 14,628 ± 47,0 ± 0.0E+0,210 ± 410,1.5 ± 3.0,2870 ± 410,0 ± 0.0E+0,1.00E+0 ± 0,-45 ± 52,7 ± 31,-12 ± 29,1 ± 14,-31 ± 47,-0.0000078490 ± 0.0000000021,210 ± 410,1.5 ± 3.0,80 ± 410,-26000000 ± 52000000,-45 ± 52,7 ± 31,-12 ± 29,1 ± 14,-31 ± 47,-0.0000078490 ± 0.0000000021,210 ± 410,1.5 ± 3.0,80 ± 410,70000 ± 170000,80100 ± 3700,-110 ± 590,7090 ± 580,4000000 ± 5900000,337800 ± 4300,34000 ± 86000,75700 ± 3500,-50 ± 290,6450 ± 500,2000000 ± 3000000,323800 ± 4300,-0.09 ± 0.52,3180 ± 400,70000 ± 190000,80600 ± 3700,-120 ± 640,7150 ± 630,590000 ± 880000,299100 ± 4300,-0.09 ± 0.51,3230 ± 400,-11 ± 22,-21000000 ± 42000000,0.027 ± 0.054,-1.21E-9 ± 0,nan,nan
Baseline,,-,,,,,,,1137 ± 74,278 ± 26,338 ± 29,270 ± 19,686 ± 49,0 ± 0.0E+0,480 ± 670,3.5 ± 4.9,3190 ± 690,0 ± 0.0E+0,1.00E+0 ± 0,-27 ± 74,-14 ± 26,-26 ± 29,4 ± 19,21 ± 49,-0.0000079829 ± 0.0000000019,480 ± 670,3.5 ± 4.9,400 ± 690,-60000000 ± 84000000,-27 ± 74,-14 ± 26,-26 ± 29,4 ± 19,21 ± 49,-0.0000079829 ± 0.0000000019,480 ± 670,3.5 ± 4.9,400 ± 690,150000 ± 160000,79500 ± 5600,-110 ± 790,6940 ± 690,-2600000 ± 6100000,334300 ± 5500,73000 ± 81000,75300 ± 5400,-60 ± 400,6270 ± 650,-1300000 ± 3100000,320300 ± 5500,-0.23 ± 0.44,2800 ± 580,160000 ± 180000,80100 ± 5700,-120 ± 860,7020 ± 690,-390000 ± 910000,295600 ± 5500,-0.23 ± 0.44,2790 ± 580,0.6 ± 3.9,-47000000 ± 66000000,0.063 ± 0.088,-1.26E-9 ± 0,nan,nan
Baseline,,-,,,,,,,1123 ± 60,278 ± 27,352 ± 28,259 ± 14,661 ± 50,210 ± 410,410 ± 580,3.0 ± 4.2,3290 ± 720,0 ± 0.0E+0,1.00E+0 ± 0,-43 ± 60,-15 ± 27,-15 ± 28,-9 ± 14,-9 ± 50,210 ± 410,410 ± 580,3.0 ± 4.2,480 ± 720,-51000000 ± 71000000,-43 ± 60,-15 ± 27,-15 ± 28,-9 ± 14,-9 ± 50,210 ± 410,410 ± 580,3.0 ± 4.2,480 ± 720,90000 ± 160000,80100 ± 5500,350 ± 580,7150 ± 530,1300000 ± 6200000,331000 ± 17000,43000 ± 82000,75900 ± 5300,170 ± 290,6490 ± 480,600000 ± 3100000,317000 ± 16000,0.04 ± 0.53,3550 ± 220,90000 ± 180000,80600 ± 5600,380 ± 620,7230 ± 530,190000 ± 910000,293000 ± 15000,0.04 ± 0.53,3540 ± 220,46 ± 65,-39000000 ± 55000000,0.053 ± 0.075,0.033 ± 0.066,nan,nan
Baseline,,-,,,,,,,1128 ± 63,272 ± 28,382 ± 27,273 ± 14,722 ± 47,0 ± 0.0E+0,0 ± 0.0E+0,0 ± 0.0E+0,2777 ± 82,0 ± 0.0E+0,1.00E+0 ± 0,-40 ± 63,-22 ± 28,12 ± 27,3 ± 14,47 ± 47,-0.0000082687 ± 0.0000000020,-0.0001726092 ± 0.0000000075,-0.02350364 ± 0.00000099,-46 ± 82,20.8750 ± 0.0040,-40 ± 63,-22 ± 28,12 ± 27,3 ± 14,47 ± 47,-0.0000082687 ± 0.0000000020,-0.0001726092 ± 0.0000000075,-0.02350364 ± 0.00000099,-46 ± 82,-70000 ± 160000,84200 ± 1500,-140 ± 610,7500 ± 290,-5700000 ± 5700000,334100 ± 5300,-36000 ± 79000,79700 ± 1500,-70 ± 310,6790 ± 280,-2800000 ± 2900000,320100 ± 5300,0.3 ± 1.3,2830 ± 540,-80000 ± 170000,84700 ± 1500,-150 ± 660,7570 ± 290,-840000 ± 850000,295400 ± 5300,0.3 ± 1.3,2820 ± 540,-0.0000053 ± 0.0000027,15.7835 ± 0.0072,-2.22E-8 ± 0,-1.35E-9 ± 0,nan,nan
Baseline,,-,,,,,,,1280 ± 250,320 ± 130,420 ± 130,271 ± 33,800 ± 220,0 ± 0.0E+0,5300 ± 6700,38 ± 48,8400 ± 6500,0 ± 0.0E+0,1.00E+0 ± 0,110 ± 250,30 ± 130,50 ± 130,0 ± 33,130 ± 220,-8.29E-6 ± 0,5300 ± 6700,38 ± 48,5600 ± 6500,-640000000 ± 810000000,110 ± 250,30 ± 130,50 ± 130,0 ± 33,130 ± 220,-8.29E-6 ± 0,5300 ± 6700,38 ± 48,5600 ± 6500,-380000 ± 680000,29000 ± 58000,500 ± 1100,4300 ± 3400,-15000000 ± 27000000,324000 ± 16000,-190000 ± 340000,27000 ± 55000,240 ± 530,3900 ± 3100,-8000000 ± 13000000,310000 ± 16000,0.19 ± 0.45,3000 ± 2300,-410000 ± 740000,29000 ± 58000,500 ± 1100,4400 ± 3400,-2200000 ± 4000000,285000 ± 16000,0.19 ± 0.44,3000 ± 2300,50 ± 150,-480000000 ± 610000000,0.68 ± 0.86,-1.36E-9 ± 0,nan,nan
Baseline,,-,,,,,,,1188 ± 56,318 ± 31,397 ± 55,267 ± 13,657 ± 43,0 ± 0.0E+0,180 ± 360,1.3 ± 2.6,3010 ± 370,0 ± 0.0E+0,1.00E+0 ± 0,19 ± 56,24 ± 31,25 ± 55,-5 ± 13,-23 ± 43,-0.0000084078 ± 0.0000000022,180 ± 360,1.3 ± 2.6,170 ± 370,-21000000 ± 43000000,19 ± 56,24 ± 31,25 ± 55,-5 ± 13,-23 ± 43,-0.0000084078 ± 0.0000000022,180 ± 360,1.3 ± 2.6,170 ± 370,-140000 ± 320000,82300 ± 3900,210 ± 550,7350 ± 410,2800000 ± 5200000,339400 ± 3400,-70000 ± 160000,77900 ± 3700,110 ± 270,6660 ± 380,1400000 ± 2600000,325400 ± 3400,-1.3 ± 1.5,3070 ± 380,-150000 ± 340000,82700 ± 3900,230 ± 590,7410 ± 410,410000 ± 760000,300700 ± 3400,-1.3 ± 1.5,3060 ± 380,1.7 ± 3.5,-16000000 ± 32000000,0.023 ± 0.046,-1.40E-9 ± 0,nan,nan
Baseline,,-,,,,,,,1183 ± 71,285 ± 30,457 ± 54,287 ± 15,677 ± 55,0 ± 0.0E+0,210 ± 430,1.6 ± 3.1,3110 ± 440,0 ± 0.0E+0,1.00E+0 ± 0,13 ± 71,-10 ± 30,82 ± 54,13 ± 15,-8 ± 55,-0.0000085541 ± 0.0000000020,210 ± 430,1.5 ± 3.1,260 ± 440,-25000000 ± 50000000,13 ± 71,-10 ± 30,82 ± 54,13 ± 15,-8 ± 55,-0.0000085541 ± 0.0000000020,210 ± 430,1.5 ± 3.1,260 ± 440,-480000 ± 310000,80100 ± 6300,-560 ± 640,7200 ± 510,1000000 ± 6400000,335900 ± 4500,-240000 ± 150000,75800 ± 6000,-280 ± 320,6520 ± 470,500000 ± 3200000,321900 ± 4500,13 ± 37,3040 ± 440,-520000 ± 330000,80600 ± 6300,-600 ± 680,7260 ± 520,140000 ± 950000,297200 ± 4500,13 ± 36,3030 ± 440,-1.3 ± 2.6,-18000000 ± 36000000,0.027 ± 0.054,-1.45E-9 ± 0,nan,nan
Baseline,,-,,,,,,,1152 ± 69,309 ± 35,410 ± 40,279 ± 14,657 ± 44,230 ± 450,0 ± 0.0E+0,0 ± 0.0E+0,3030 ± 460,0 ± 0.0E+0,1.00E+0 ± 0,-20 ± 69,13 ± 35,32 ± 40,2 ± 14,-34 ± 44,230 ± 450,-0.0001742433 ± 0.0000000075,-0.0237202 ± 0.0000010,170 ± 460,19.76 ± 0.57,-20 ± 69,13 ± 35,32 ± 40,2 ± 14,-34 ± 44,230 ± 450,-0.0001742433 ± 0.0000000075,-0.0237202 ± 0.0000010,170 ± 460,-190000 ± 230000,80600 ± 3000,-100 ± 580,7290 ± 390,3900000 ± 5100000,312000 ± 16000,-90000 ± 110000,76100 ± 3000,-50 ± 290,6590 ± 390,1900000 ± 2500000,299000 ± 16000,-0.7 ± 1.3,3560 ± 450,-200000 ± 240000,81000 ± 3000,-100 ± 620,7350 ± 390,570000 ± 750000,274000 ± 15000,-0.7 ± 1.2,3550 ± 460,0.0000052 ± 0.0000040,14.07 ± 0.41,-2.16E-8 ± 0,0.039 ± 0.078,nan,nan
Baseline,,-,,,,,,,1183 ± 58,293 ± 32,368 ± 25,263 ± 12,743 ± 48,0 ± 0.0E+0,180 ± 360,1.3 ± 2.6,3030 ± 370,0 ± 0.0E+0,1.00E+0 ± 0,9 ± 58,-4 ± 32,-12 ± 25,-16 ± 12,47 ± 48,-0.0000088356 ± 0.0000000022,180 ± 360,1.3 ± 2.6,160 ± 370,-20000000 ± 41000000,9 ± 58,-4 ± 32,-12 ± 25,-16 ± 12,47 ± 48,-0.0000088356 ± 0.0000000022,180 ± 360,1.3 ± 2.6,160 ± 370,70000 ± 140000,79600 ± 3900,710 ± 500,7000 ± 390,-5300000 ± 5400000,316600 ± 8900,36000 ± 71000,75200 ± 3700,350 ± 250,6310 ± 380,-2700000 ± 2700000,302600 ± 8900,0.1 ± 1.1,3230 ± 550,80000 ± 150000,80000 ± 3900,750 ± 520,7060 ± 390,-780000 ± 800000,277900 ± 8900,0.1 ± 1.1,3220 ± 550,7 ± 13,-14000000 ± 28000000,0.022 ± 0.044,-1.54E-9 ± 0,nan,nan
Baseline,,-,,,,,,,1195 ± 62,297 ± 30,381 ± 24,276 ± 13,698 ± 48,0 ± 0.0E+0,580 ± 660,4.2 ± 4.8,3430 ± 680,0 ± 0.0E+0,1.00E+0 ± 0,20 ± 62,0 ± 30,-2 ± 24,-4 ± 13,-3 ± 48,-0.0000089769 ± 0.0000000021,580 ± 660,4.2 ± 4.8,550 ± 680,-65000000 ± 74000000,20 ± 62,0 ± 30,-2 ± 24,-4 ± 13,-3 ± 48,-0.0000089769 ± 0.0000000021,580 ± 660,4.2 ± 4.8,550 ± 680,10000 ± 130000,75400 ± 7300,180 ± 540,6800 ± 590,300000 ± 5400000,327200 ± 6800,6000 ± 66000,71300 ± 6900,90 ± 270,6140 ± 550,200000 ± 2700000,313200 ± 6800,0.25 ± 0.67,2920 ± 540,10000 ± 140000,75800 ± 7300,190 ± 570,6850 ± 600,50000 ± 800000,288500 ± 6800,0.25 ± 0.66,2910 ± 540,-22 ± 45,-44000000 ± 50000000,0.070 ± 0.080,-1.59E-9 ± 0,nan,nan
Baseline,,-,,,,,,,1162 ± 56,290 ± 31,404 ± 51,277 ± 13,656 ± 41,190 ± 390,0 ± 0.0E+0,0 ± 0.0E+0,2980 ± 410,0 ± 0.0E+0,1.00E+0 ± 0,-14 ± 56,-7 ± 31,18 ± 51,-5 ± 13,-50 ± 41,190 ± 390,-0.0001758548 ± 0.0000000082,-0.0239338 ± 0.0000011,80 ± 410,19.06 ± 0.47,-14 ± 56,-7 ± 31,18 ± 51,-5 ± 13,-50 ± 41,190 ± 390,-0.0001758548 ± 0.0000000082,-0.0239338 ± 0.0000011,80 ± 410,-100000 ± 290000,82900 ± 1600,230 ± 540,7380 ± 290,5500000 ± 4500000,324000 ± 15000,-50000 ± 140000,78400 ± 1600,110 ± 270,6680 ± 290,2800000 ± 2300000,310000 ± 14000,-0.07 ± 0.33,3120 ± 410,-110000 ± 300000,83200 ± 1600,240 ± 570,7430 ± 290,820000 ± 660000,286000 ± 13000,-0.07 ± 0.33,3180 ± 410,0.0000001 ± 0.0000011,12.78 ± 0.32,-2.10E-8 ± 0,0.035 ± 0.069,nan,nan
Baseline,,-,,,,,,,1138 ± 66,321 ± 29,397 ± 35,287 ± 15,712 ± 53,0 ± 0.0E+0,220 ± 450,1.6 ± 3.2,3080 ± 440,0 ± 0.0E+0,1.00E+0 ± 0,-40 ± 66,23 ± 29,8 ± 35,3 ± 15,1 ± 53,-0.0000092611 ± 0.0000000020,220 ± 450,1.6 ± 3.2,170 ± 440,-24000000 ± 48000000,-40 ± 66,23 ± 29,8 ± 35,3 ± 15,1 ± 53,-0.0000092611 ± 0.0000000020,220 ± 450,1.6 ± 3.2,170 ± 440,-50000 ± 200000,81600 ± 4600,-160 ± 630,7170 ± 560,-100000 ± 5700000,325100 ± 7500,-25000 ± 99000,77300 ± 4400,-80 ± 320,6510 ± 480,0 ± 2800000,311100 ± 7500,0.60 ± 0.42,3010 ± 670,-50000 ± 210000,81900 ± 4700,-160 ± 660,7200 ± 570,-10000 ± 840000,286400 ± 7500,0.59 ± 0.42,3170 ± 610,-15 ± 30,-16000000 ± 32000000,0.026 ± 0.052,-1.68E-9 ± 0,nan,nan
Baseline,,-,,,,,,,1143 ± 76,333 ± 48,427 ± 52,296 ± 18,691 ± 59,0 ± 0.0E+0,0 ± 0.0E+0,0 ± 0.0E+0,2890 ± 110,0 ± 0.0E+0,1.00E+0 ± 0,-36 ± 76,34 ± 48,35 ± 52,9 ± 18,-26 ± 59,-0.0000094055 ± 0.0000000018,-0.0001769747 ± 0.0000000068,-0.02408218 ± 0.00000090,-40 ± 110,18.8161 ± 0.0028,-36 ± 76,34 ± 48,35 ± 52,9 ± 18,-26 ± 59,-0.0000094055 ± 0.0000000018,-0.0001769747 ± 0.0000000068,-0.02408218 ± 0.00000090,-40 ± 110,-200000 ± 300000,81600 ± 2100,-380 ± 760,7540 ± 300,2800000 ± 6300000,332400 ± 6800,-100000 ± 150000,77100 ± 2100,-190 ± 380,6830 ± 300,1400000 ± 3100000,318400 ± 6800,0.43 ± 0.49,2840 ± 800,-210000 ± 310000,81900 ± 2100,-390 ± 790,7570 ± 300,410000 ± 920000,293700 ± 6800,0.43 ± 0.48,2820 ± 800,0.0000008 ± 0.0000015,12.1050 ± 0.0048,-2.05E-8 ± 0,-1.73E-9 ± 0,nan,nan
Baseline,,-,,,,,,,1182 ± 61,291 ± 35,460 ± 31,306 ± 16,770 ± 49,0 ± 0.0E+0,210 ± 420,1.5 ± 3.0,3220 ± 440,0 ± 0.0E+0,1.00E+0 ± 0,1 ± 61,-8 ± 35,66 ± 31,18 ± 16,48 ± 49,-0.0000095371 ± 0.0000000020,210 ± 420,1.5 ± 3.0,280 ± 440,-22000000 ± 44000000,1 ± 61,-8 ± 35,66 ± 31,18 ± 16,48 ± 49,-0.0000095371 ± 0.0000000020,210 ± 420,1.5 ± 3.0,280 ± 440,-370000 ± 170000,78100 ± 8100,-710 ± 650,6450 ± 650,-5000000 ± 5100000,330200 ± 5400,-187000 ± 86000,73900 ± 7700,-350 ± 320,5770 ± 630,-2500000 ± 2500000,316200 ± 5400,0.30 ± 0.53,3070 ± 490,-390000 ± 180000,78400 ± 8100,-730 ± 670,6480 ± 650,-740000 ± 750000,291500 ± 5400,0.29 ± 0.53,3060 ± 490,-3.9 ± 7.9,-14000000 ± 28000000,0.024 ± 0.048,-1.78E-9 ± 0,nan,nan
Baseline,,-,,,,,,,1213 ± 66,293 ± 32,418 ± 41,301 ± 15,850 ± 180,0 ± 0.0E+0,230 ± 460,1.7 ± 3.3,3310 ± 500,0 ± 0.0E+0,1.00E+0 ± 0,31 ± 66,-7 ± 32,21 ± 41,11 ± 15,120 ± 180,-0.0000096795 ± 0.0000000020,230 ± 460,1.6 ± 3.3,360 ± 500,-24000000 ± 47000000,31 ± 66,-7 ± 32,21 ± 41,11 ± 15,120 ± 180,-0.0000096795 ± 0.0000000020,230 ± 460,1.6 ± 3.3,360 ± 500,-130000 ± 230000,82200 ± 5300,-440 ± 630,6770 ± 610,-13000000 ± 18000000,324700 ± 5500,-60000 ± 110000,77900 ± 5000,-220 ± 320,6090 ± 580,-6400000 ± 9100000,310700 ± 5500,0.26 ± 0.47,2850 ± 670,-130000 ± 240000,82500 ± 5300,-460 ± 650,6800 ± 610,-1900000 ± 2700000,286000 ± 5500,0.26 ± 0.46,2840 ± 670,-2.6 ± 5.2,-15000000 ± 29000000,0.026 ± 0.052,-1.82E-9 ± 0,nan,nan
Baseline,,-,,,,,,,1179 ± 66,296 ± 34,384 ± 23,299 ± 13,771 ± 53,0 ± 0.0E+0,450 ± 640,3.3 ± 4.6,3380 ± 660,0 ± 0.0E+0,1.00E+0 ± 0,-5 ± 66,-5 ± 34,-16 ± 23,6 ± 13,39 ± 53,-0.0000098247 ± 0.0000000020,450 ± 640,3.3 ± 4.6,420 ± 660,-46000000 ± 65000000,-5 ± 66,-5 ± 34,-16 ± 23,6 ± 13,39 ± 53,-0.0000098247 ± 0.0000000020,450 ± 640,3.3 ± 4.6,420 ± 660,90000 ± 120000,78400 ± 5800,-240 ± 520,6690 ± 590,-4000000 ± 5400000,329300 ± 5200,47000 ± 60000,74100 ± 5500,-120 ± 260,6020 ± 540,-2000000 ± 2700000,315300 ± 5200,-0.02 ± 0.83,2790 ± 600,100000 ± 120000,78600 ± 5800,-250 ± 530,6710 ± 590,-590000 ± 800000,290600 ± 5200,-0.02 ± 0.82,2770 ± 600,-0.2 ± 3.1,-28000000 ± 39000000,0.050 ± 0.071,-1.87E-9 ± 0,nan,nan
